yas,aylik_gelir,abonelik_suresi_ay,destek_talebi_sayisi,sehir,uyelik_tipi,aylik_ucret,son_giris_gun_once,otomatik_odeme,churn
38,113500,46,2,İzmir,Premium,699,4,Evet,0
35,98500,40,0,İzmir,Basic,199,21,Evet,0
36,66000,68,3,Antalya,Basic,199,17,Evet,1
64,76500,37,2,Edirne,Basic,299,4,Evet,0
42,113500,39,3,İzmir,Standard,399,6,Hayır,0
38,84000,34,1,Bursa,Basic,249,2,Evet,0
31,28500,31,0,Edirne,Premium,749,1,Evet,0
67,43000,25,1,İstanbul,Premium,749,4,Evet,0
46,68000,36,2,Ankara,Premium,749,5,Evet,0
69,,35,1,İstanbul,Premium,749,1,Hayır,0
67,95500,28,0,İstanbul,Basic,199,5,Evet,0
52,24500,17,0,İstanbul,Standard,449,8,Evet,0
35,32000,42,3,Bursa,Standard,449,34,Evet,1
42,21500,21,1,Ankara,Basic,349,0,Evet,0
49,49500,47,1,İzmir,Premium,749,14,Evet,0
49,80500,12,0,İzmir,Basic,349,20,Evet,1
30,104500,9,4,Antalya,Premium,799,1,Evet,0
22,90000,60,1,Edirne,Premium,749,21,Evet,1
31,39500,65,1,İstanbul,Basic,299,6,Evet,0
23,54500,53,2,Edirne,Basic,249,3,Hayır,1
34,58000,20,4,Bursa,Standard,449,8,Evet,1
68,105000,48,2,Ankara,Premium,799,,Hayır,1
40,110000,56,0,Edirne,Basic,249,6,Hayır,0
63,85000,35,2,İzmir,Basic,349,16,Evet,1
64,36000,42,1,Antalya,Premium,749,9,Evet,0
22,47000,40,1,İzmir,Basic,349,6,Evet,0
22,49000,18,0,Antalya,Basic,299,2,Evet,0
39,95500,24,0,Bursa,Basic,299,14,Evet,0
61,,12,0,Ankara,Standard,549,,Hayır,0
59,98000,29,0,İzmir,Premium,799,7,Evet,0
44,96500,55,1,İstanbul,Standard,499,10,Evet,0
27,38000,6,2,Bursa,Basic,249,11,Evet,1
67,101000,31,0,Ankara,Basic,349,13,Evet,0
62,81000,46,2,Bursa,Standard,449,14,Evet,0
64,72500,61,0,İstanbul,Premium,799,4,Evet,0
39,88500,37,3,İzmir,Basic,349,0,Evet,0
33,78000,25,2,İstanbul,Basic,249,0,Hayır,1
46,100000,59,0,İzmir,Standard,449,20,Evet,0
65,113000,43,0,Ankara,Basic,349,2,Evet,0
52,41500,25,1,İstanbul,Standard,499,3,Evet,0
25,,46,0,İzmir,Basic,249,1,Evet,0
55,71500,17,1,Edirne,Basic,249,0,Evet,1
24,46000,17,2,Ankara,Standard,499,20,Hayır,1
68,104500,9,3,Edirne,Standard,449,28,Evet,1
52,23500,45,0,İzmir,Basic,249,12,Hayır,1
19,78000,20,0,İstanbul,Standard,449,15,Evet,0
52,36000,44,3,Bursa,Basic,349,14,Evet,1
27,48500,11,2,İstanbul,Standard,449,13,Evet,1
66,38500,67,1,Ankara,Standard,549,7,Hayır,1
64,30000,6,1,Antalya,Premium,849,11,Evet,0
61,68500,36,0,İzmir,Standard,449,2,Evet,1
24,81000,59,0,Bursa,Basic,349,2,Evet,1
36,34500,10,1,Edirne,Standard,449,9,Hayır,1
31,100000,15,0,Ankara,Standard,449,1,Hayır,0
19,107000,55,2,Ankara,Standard,499,1,Evet,0
34,34000,67,2,İzmir,Standard,499,1,Hayır,0
38,31500,37,1,Bursa,Basic,199,4,Evet,0
53,43000,28,0,Edirne,Basic,299,22,Evet,1
47,34000,63,3,Bursa,Basic,249,6,Hayır,0
39,116000,59,2,İstanbul,Standard,399,8,Evet,0
56,85500,53,4,Ankara,Basic,299,4,Hayır,0
44,76500,70,3,Ankara,Basic,249,4,Hayır,1
20,51500,47,5,İzmir,Basic,249,14,Evet,1
31,83500,23,0,İzmir,Premium,749,4,Hayır,0
59,39500,18,1,İstanbul,Standard,449,3,Evet,0
25,101000,4,2,İstanbul,Premium,749,3,Evet,1
55,74500,41,1,İstanbul,Basic,299,8,Evet,0
33,25000,20,0,İstanbul,Standard,499,12,Evet,1
55,99500,58,0,İstanbul,Basic,299,5,Hayır,0
41,61000,66,1,İzmir,Basic,249,12,Evet,0
54,45000,48,2,,Basic,199,1,Evet,0
55,94000,48,2,Ankara,Basic,249,5,Evet,0
57,65000,30,1,İzmir,Standard,399,17,Evet,0
28,102000,46,2,İzmir,Basic,349,9,Evet,1
27,100000,26,1,Ankara,Premium,749,9,Evet,0
49,76500,56,3,Bursa,Standard,499,5,Evet,0
40,56500,3,0,İstanbul,Basic,349,4,Evet,0
27,102000,11,2,Antalya,Standard,399,1,Hayır,0
22,75000,16,1,,Standard,449,12,Evet,1
38,97000,31,3,İstanbul,Premium,699,14,Evet,0
33,42000,19,3,İstanbul,Basic,349,8,Evet,0
56,48500,20,2,Ankara,Standard,449,1,Hayır,0
55,22000,13,1,İzmir,Standard,449,8,Evet,0
47,118500,67,0,İzmir,Standard,449,1,Evet,0
29,,51,0,Ankara,Standard,399,0,Evet,0
45,62000,24,2,Antalya,Basic,199,5,Evet,1
25,27000,56,1,İstanbul,Standard,549,1,Evet,0
41,101500,44,2,Ankara,Premium,749,1,Hayır,0
69,88500,30,0,Ankara,Basic,249,,Evet,0
21,95000,36,2,İstanbul,Premium,749,5,Evet,0
68,105000,3,0,İstanbul,Standard,499,2,Evet,0
18,66500,57,0,Antalya,Standard,449,14,Evet,0
69,111500,6,0,İstanbul,Basic,299,3,Hayır,0
62,99500,52,1,İstanbul,Basic,299,6,Evet,0
70,68000,32,0,Bursa,Standard,499,16,Hayır,1
38,82500,36,2,İzmir,Standard,499,5,Evet,0
35,56000,59,4,Antalya,Basic,249,6,Evet,1
37,31000,69,3,İzmir,Standard,449,4,Evet,0
46,78000,35,1,İzmir,Basic,249,14,Evet,1
34,20000,34,2,İstanbul,Premium,749,7,Evet,1
50,75000,11,2,İstanbul,Standard,499,5,Evet,1
33,57500,56,3,İstanbul,Premium,749,3,Hayır,1
